date,indicator,value,unit,release_date,revision_number,source,downloaded_at
2025-12-05,REPO_RATE,5.25,percent,2025-12-05,0,RBI,2026-07-11T17:12:40+00:00
2025-12-05,SDF_RATE,5.0,percent,2025-12-05,0,RBI,2026-07-11T17:12:40+00:00
2025-12-05,MSF_RATE,5.5,percent,2025-12-05,0,RBI,2026-07-11T17:12:40+00:00
2025-12-05,BANK_RATE,5.5,percent,2025-12-05,0,RBI,2026-07-11T17:12:40+00:00
2023-02-08,REPO_RATE,6.5,percent,2023-02-08,0,RBI,2026-07-11T19:22:44+00:00
2023-02-08,SDF_RATE,6.25,percent,2023-02-08,0,RBI,2026-07-11T19:22:44+00:00
2023-02-08,MSF_RATE,6.75,percent,2023-02-08,0,RBI,2026-07-11T19:22:44+00:00
2023-02-08,BANK_RATE,6.75,percent,2023-02-08,0,RBI,2026-07-11T19:22:44+00:00
2025-02-07,REPO_RATE,6.25,percent,2025-02-07,0,RBI,2026-07-11T19:22:44+00:00
2025-02-07,SDF_RATE,6.0,percent,2025-02-07,0,RBI,2026-07-11T19:22:44+00:00
2025-02-07,MSF_RATE,6.5,percent,2025-02-07,0,RBI,2026-07-11T19:22:44+00:00
2025-02-07,BANK_RATE,6.5,percent,2025-02-07,0,RBI,2026-07-11T19:22:44+00:00
2025-04-09,REPO_RATE,6.0,percent,2025-04-09,0,RBI,2026-07-11T19:22:44+00:00
2025-04-09,SDF_RATE,5.75,percent,2025-04-09,0,RBI,2026-07-11T19:22:44+00:00
2025-04-09,MSF_RATE,6.25,percent,2025-04-09,0,RBI,2026-07-11T19:22:44+00:00
2025-04-09,BANK_RATE,6.25,percent,2025-04-09,0,RBI,2026-07-11T19:22:44+00:00
2025-06-06,REPO_RATE,5.5,percent,2025-06-06,0,RBI,2026-07-11T19:22:44+00:00
2025-06-06,SDF_RATE,5.25,percent,2025-06-06,0,RBI,2026-07-11T19:22:44+00:00
2025-06-06,MSF_RATE,5.75,percent,2025-06-06,0,RBI,2026-07-11T19:22:44+00:00
2025-06-06,BANK_RATE,5.75,percent,2025-06-06,0,RBI,2026-07-11T19:22:44+00:00
